time(ns) r(mm) y(mm) mom(GeV)
5.12343 -3.27034 -7.28267 3099.93
5.04653 17.3484 -7.72112 3097.25
5.05091 13.588 17.1633 3093.84
5.11434 -24.755 -3.2187 3096.08
5.05103 28.0973 3.91623 3100.45
5.09003 -27.1106 2.17957 3092.45
5.01702 11.2691 2.9022 3094.09
5.02654 24.3856 -1.72805 3096.77
5.01115 -3.09754 -16.7994 3095.07
5.06073 -21.4139 0.393862 3089.26
5.07027 2.53565 -19.1113 3094.65
5.08285 11.7729 -18.5877 3100.44
5.06624 15.6845 -6.52294 3096.3
5.03594 -11.5626 -30.647 3092.38
5.12374 0.43565 -8.99009 3100.47
5.10651 19.2429 -5.2598 3102.13
5.0531 -13.9378 -7.26752 3092.34
5.09025 22.3473 0.347638 3098.01
5.04004 7.1678 -5.34767 3095.28
5.13707 7.93221 1.7282 3101.11
5.04182 0.513669 -7.15193 3094.19
5.06036 22.1199 -24.5211 3099.06
5.05678 -15.2368 -14.2 3094.42
5.13271 21.2513 -4.51834 3102.73
5.04355 17.592 10.4388 3095.74
5.06011 4.32197 -3.43969 3096.72
5.07581 -5.08065 1.07926 3092.95
5.05026 -0.0725144 -17.4761 3094.57
5.11089 19.3455 -6.87139 3102.38
5.06214 14.8863 1.10009 3095.85
5.06695 6.72457 -6.28008 3098.72
5.11695 9.13933 13.1528 3099.7
5.04692 -11.2216 -0.0131232 3091.13
5.10557 2.55085 -14.5672 3097.8
5.10056 -11.767 16.3931 3091.53
5.09481 -37.6923 -3.00424 3091.54
5.07156 -8.67748 0.0759241 3092.17
5.12268 -25.1346 1.05684 3093.86
5.03385 -18.6365 16.0107 3089.85
5.0485 -18.4575 -5.5522 3092.07
5.13238 10.7697 -9.00408 3101.52
5.09427 12.3267 -0.812608 3100.23
5.09051 -27.0614 -10.6083 3094.93
5.11595 -8.47342 5.70713 3095.1
5.0544 3.72408 -1.80217 3091.33
5.10551 11.2618 24.1024 3097.1
5.0688 -0.703371 -7.26704 3096.7
5.07471 -3.07159 1.7453 3094.5
5.11446 17.7189 8.71374 3102.43
5.06978 -27.1521 -12.2547 3091.04
5.07217 -5.53561 -22.0002 3092.41
5.09776 -12.7391 -4.28355 3093.76
5.05539 -20.7482 -13.9372 3090.54
5.04516 20.3724 19.2814 3096.17
5.07538 15.5497 0.286071 3097.56
5.11576 -3.74855 -3.35315 3097.46
5.08471 -11.4718 2.27084 3095.27
5.123 -7.47437 -14.3343 3097.94
5.07117 -16.0643 14.645 3091.93
5.0526 15.883 -9.1007 3098.97
5.05624 -6.43525 3.69882 3097.14
5.09126 -1.77517 5.61479 3091.17
5.04119 16.4209 2.5184 3098.05
5.05995 -25.2496 10.4653 3088.12
5.03227 -18.9102 -2.41719 3088.67
5.07194 25.9449 -8.27428 3098.58
5.11338 -5.95867 7.18512 3098.66
5.08304 15.31 3.42764 3092.59
5.09901 7.81893 26.992 3097.02
5.06245 10.8494 13.3505 3095.91
5.08167 14.4178 -14.3979 3097.64
5.07061 12.5165 -0.708531 3096.55
5.11572 22.1777 -8.9651 3103.38
5.07855 -7.21808 3.59476 3094.96
5.08363 -1.87567 10.7257 3096.38
5.03652 -4.69377 -5.02513 3095.18
5.06605 17.4714 -2.2237 3096.19
5.10371 -23.3088 -0.341474 3096.52
5.13789 -6.68461 -16.7911 3096.92
5.03585 -9.97089 -2.62202 3092.48
5.09091 0.328366 -9.14608 3096.19
5.09215 13.5627 -3.04156 3101.75
5.08421 13.4753 -6.55752 3094.65
5.06548 2.35968 5.54187 3094.85
5.06953 34.6505 20.7218 3098.86
5.02719 -0.495899 5.92766 3089.91
5.14887 8.96462 -9.47934 3101.48
5.03337 27.3711 -1.13561 3098.55
5.04669 40.323 0.497617 3098.18
5.06815 -0.607896 4.21131 3093.52
5.10424 -34.2181 -14.5371 3093.46
5.1077 -6.38034 -33.2832 3090.84
5.0623 4.79724 -8.63394 3097.42
5.06781 -19.4004 2.35418 3092.94
5.10356 24.8011 4.05355 3099.9
5.04489 10.4767 -5.91464 3097.9
5.06272 -26.7893 2.79984 3090.07
5.07898 -22.4469 -3.6235 3092.61
5.08813 -23.8205 -18.9644 3091.85
5.0006 -1.89081 -21.9259 3100.56
5.04156 34.2176 11.9609 3101.26
5.05747 -9.37603 -13.8515 3093.14
5.09131 -22.5526 -23.474 3093.08
5.08384 -10.7565 -0.225032 3095.6
5.10878 -19.1921 -18.0602 3094.35
5.1028 -1.88641 -19.1078 3098.51
5.08899 9.83821 -1.19335 3094.51
5.11546 1.49508 -17.2812 3099.51
5.07124 8.58891 -27.5402 3095.86
5.1195 6.66091 18.4964 3099.76
5.0639 -29.16 9.29262 3090.55
5.04941 -11.7977 -15.2773 3094.66
5.0682 13.3346 -11.9057 3098.85
5.06411 -31.3642 -2.58432 3090.19
5.05735 -7.0438 0.533646 3094.69
5.10528 0.820534 -14.821 3099.5
5.05356 -0.768031 5.19573 3095.38
5.03423 31.643 -17.8716 3096.86
5.11198 9.82661 -10.7728 3100.55
5.04552 24.5106 -6.88152 3098.1
5.0504 -6.43509 -18.1038 3092.67
5.02568 -0.674546 -9.16078 3096.15
5.09398 -30.17 -13.5926 3091.82
5.10964 27.6743 2.122 3104.17
5.06618 -8.88287 -4.46439 3092.41
5.07314 -8.68243 -11.1298 3092.86
5.0383 3.95061 -4.1886 3094.02
5.05025 -13.1936 -9.16614 3090.2
