time(ns) r(mm) y(mm) mom(GeV)
5.06868 -18.9673 -22.9774 3088.03
5.07575 -23.9676 -17.6312 3090.94
5.0929 28.9469 -17.1382 3101.13
5.07515 8.61171 -6.24178 3096.98
5.05622 -16.0518 -11.3349 3092.58
5.11701 -12.549 -24.5316 3095.93
5.11082 -22.5591 -5.5762 3095.5
5.03696 -10.8644 -5.66194 3094.18
5.06871 -16.0548 -5.47161 3092.77
5.11683 -12.5011 -4.39379 3095.59
5.07761 -8.73937 -12.1355 3095.25
5.06976 8.50675 14.2169 3095.25
5.09918 -21.0537 4.62562 3092.43
5.02338 -7.97913 1.00473 3092.6
5.10564 0.783042 -3.1048 3099.01
5.0709 20.9551 1.31506 3100.57
5.06525 -6.39581 -15.554 3093.35
5.05594 -25.5916 -2.95665 3090.38
5.0918 13.1652 -8.68628 3098.9
5.09023 22.6307 -8.39874 3097.94
5.07369 0.852363 0.0472534 3093.33
5.09535 7.55453 -24.3321 3097.58
5.04855 -16.7626 -24.0995 3092.47
5.0718 -27.737 -3.31702 3090.64
5.06173 -25.6379 -9.69895 3089.79
5.03287 -13.229 -6.93357 3088.62
5.06967 7.35152 -6.76121 3096.38
5.05629 38.0341 4.70474 3102.35
5.09137 2.78558 1.79428 3096.33
5.09045 6.64085 -8.93978 3094.72
5.10514 8.15378 -7.79734 3097.65
5.11761 -20.6375 -3.49476 3094.25
5.04552 -20.056 5.34122 3091.87
5.07339 10.4653 -7.31434 3094.36
5.13285 -14.0364 -8.13338 3097.09
5.09824 0.05049 5.63701 3099.04
5.08398 -3.6967 6.10793 3095.42
5.04986 9.60389 -6.98736 3094.06
5.03194 -1.77617 -16.9492 3093.63
5.01872 -2.4149 0.944705 3093.33
5.09156 10.0961 -13.3921 3101.44
5.04991 11.6069 6.46347 3096.17
5.0509 -13.6739 -9.69741 3091.82
5.0979 -1.64272 -17.7283 3096.95
5.13361 1.50334 -16.3483 3099.8
5.03951 24.5776 -3.80694 3098.09
5.07826 -26.1372 -12.8394 3090.24
5.05262 18.936 3.34374 3095.12
5.09169 -19.8905 8.70869 3088.68
5.04314 -15.2467 6.02109 3088.87
5.10827 -26.1163 -13.6886 3093.34
5.08197 17.2898 -13.9577 3098.45
5.11281 10.3214 -1.24262 3099.63
5.02446 22.0065 3.77738 3095.15
5.11063 19.2953 -0.869286 3102.02
5.12728 -20.6089 -7.00407 3096.51
5.06715 23.773 -17.9588 3100.63
5.10297 -1.75888 -3.77316 3097.44
5.09461 -7.95827 -11.2875 3094.35
5.04761 -15.2673 -1.67005 3089.36
5.10019 12.3274 -0.107831 3097.7
5.07045 -8.63748 -1.01726 3094.62
5.03106 -7.97225 -2.176 3091.89
5.11236 -24.8507 1.9184 3096.3
5.09574 -8.77632 -10.0835 3096.68
5.12675 0.481368 6.04451 3099.47
5.09681 -19.3592 -0.387501 3094.55
5.13455 -19.1085 -17.7834 3093.55
5.12964 -1.32982 4.12926 3100.56
5.11528 -1.77185 -3.98943 3096.57
5.08664 -20.2038 2.85133 3095.05
5.05985 19.2576 9.17089 3097.49
5.10768 1.57739 -23.0151 3091.23
5.10816 -32.2019 -14.8539 3091.25
5.11982 -33.6761 1.43906 3094.07
5.05229 -15.1977 -6.46959 3087.9
5.09253 3.69375 3.39102 3099.15
5.09051 9.46717 -1.34372 3098.71
5.05594 -3.84332 -18.8689 3095.43
5.08791 -3.34531 -17.3028 3091.3
5.06697 22.2105 13.7991 3100.15
5.02687 16.3105 -19.7395 3097.69
5.11248 3.10355 -3.50467 3101.37
5.09391 -11.5471 -8.97114 3094.9
5.07113 -23.3142 -6.39749 3089.26
5.07891 -25.1753 2.70022 3090.8
5.08491 -14.5175 -23.2037 3090.79
5.06961 -2.84396 -5.004 3095.72
5.06139 8.57062 -8.46613 3098.16
5.07737 1.79621 -11.9247 3095.08
5.10339 0.927195 -0.311302 3097.57
5.06462 -19.6277 -14.5409 3091.77
5.11723 0.571461 -20.1005 3099.87
5.06118 2.99796 -3.51586 3097.06
5.06656 23.4542 -9.31483 3098.81
5.05435 -2.54077 -4.70384 3095.96
5.113 -23.7021 -18.4628 3096.45
5.06791 0.741577 -6.4335 3098.2
5.04412 20.9975 -4.59677 3094.15
5.1453 5.09806 -12.0257 3101.85
5.12393 14.4107 -0.183719 3103.13
5.04275 10.1603 -3.17118 3097.46
5.03958 -2.78404 7.98761 3091.56
5.1007 17.5995 3.73616 3101.67
5.04148 -6.63149 -4.16421 3094.22
5.0701 -21.7325 13.2707 3088.32
5.07248 -3.36314 -12.4683 3089.78
5.08147 27.2002 6.43128 3099.53
5.08268 13.3734 -15.266 3098.74
5.0757 33.088 -11.0213 3101.65
5.10764 6.51055 1.97333 3098.11
5.08069 -6.27014 -11.1192 3097.52
5.07979 32.6405 3.47931 3093.72
5.10355 -3.10845 -15.3296 3095.12
5.05655 -11.4486 -8.83765 3093.02
5.10393 -14.5485 -14.9623 3092.69
5.08852 30.3402 5.17855 3099.25
5.08475 8.94456 -11.8269 3098.33
5.06304 28.6116 -7.48061 3095.67
5.11863 29.5334 -3.03058 3103.94
5.08221 16.8223 4.88792 3096.59
5.07665 -31.2698 -7.16773 3091.66
5.13268 10.1252 -10.2965 3099.19
5.10441 -22.8177 -6.0436 3095.61
5.10799 -7.28844 -21.2823 3098.12
